Simulation number, Timestep, Bank 1_loss, Bank 2_loss, Bank 3_loss, Hedgefund 1_loss, AssetManager 1_loss, totalEquityLoss
1, 0, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
1, 1, 0.00%, -99.05%, -5.63%, -2.69%, 0.00%, -0.03%
1, 2, -11.83%, -102.85%, -13.19%, -6.01%, 0.00%, -0.04%
1, 3, -18.00%, -100.00%, -96.27%, -7.94%, 0.00%, -0.06%
1, 4, NaN%, -100.00%, -96.27%, -100.00%, 0.00%, NaN%
1, 5, -100.00%, -100.00%, -176.27%, -100.00%, 0.00%, NaN%
1, 6, -100.00%, -100.00%, -176.27%, -100.00%, 0.00%, NaN%
1, 7, -100.00%, -100.00%, -176.27%, -100.00%, 0.00%, NaN%
1, 8, -100.00%, -100.00%, -176.27%, -100.00%, 0.00%, NaN%
1, 9, -100.00%, -100.00%, -176.27%, -100.00%, 0.00%, NaN%
1, 10, -100.00%, -100.00%, -176.27%, -100.00%, 0.00%, NaN%
1, 11, -100.00%, -100.00%, -176.27%, -100.00%, 0.00%, NaN%
1, 12, -100.00%, -100.00%, -176.27%, -100.00%, 0.00%, NaN%
1, 13, -100.00%, -100.00%, -176.27%, -100.00%, 0.00%, NaN%
1, 14, -100.00%, -100.00%, -176.27%, -100.00%, 0.00%, NaN%
1, 15, -100.00%, -100.00%, -176.27%, -100.00%, 0.00%, NaN%
Simulation number, Timestep, Bank 1_loss, Bank 2_loss, Bank 3_loss, Hedgefund 1_loss, AssetManager 1_loss, totalEquityLoss
2, 0, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%
2, 1, 0.00%, -99.05%, -5.63%, -2.69%, 0.00%, -0.03%
2, 2, -11.83%, -102.85%, -13.19%, -6.01%, 0.00%, -0.04%
2, 3, -18.00%, -100.00%, -96.27%, -7.94%, 0.00%, -0.06%
2, 4, -100.00%, -100.00%, -189.08%, -100.00%, 0.00%, -0.15%
2, 5, -100.00%, -100.00%, -100.00%, -100.00%, 0.00%, -0.15%
2, 6, -100.00%, -100.00%, -100.00%, -100.00%, 0.00%, -0.15%
2, 7, -100.00%, -100.00%, -100.00%, -100.00%, 0.00%, -0.15%
2, 8, -100.00%, -100.00%, -100.00%, -100.00%, 0.00%, -0.15%
2, 9, -100.00%, -100.00%, -100.00%, -100.00%, 0.00%, -0.15%
2, 10, -100.00%, -100.00%, -100.00%, -100.00%, 0.00%, -0.15%
2, 11, -100.00%, -100.00%, -100.00%, -100.00%, 0.00%, -0.15%
2, 12, -100.00%, -100.00%, -100.00%, -100.00%, 0.00%, -0.15%
2, 13, -100.00%, -100.00%, -100.00%, -100.00%, 0.00%, -0.15%
2, 14, -100.00%, -100.00%, -100.00%, -100.00%, 0.00%, -0.15%
2, 15, -100.00%, -100.00%, -100.00%, -100.00%, 0.00%, -0.15%
